dataset,classifier,metric,experimento,experimento_num,valor,author
Automobile,perceptron,accuracy,v19,19,0.5161290322580645,eduardo-cavazin
Automobile,perceptron,accuracy,v20,20,0.5142857142857142,eduardo-cavazin
Automobile,svm,accuracy,v1,1,0.5483870967741935,eduardo-cavazin
Automobile,svm,accuracy,v2,2,0.3225806451612903,eduardo-cavazin
Automobile,svm,accuracy,v3,3,0.3548387096774194,eduardo-cavazin
Automobile,svm,accuracy,v4,4,0.5161290322580645,eduardo-cavazin
Automobile,svm,accuracy,v5,5,0.4285714285714285,eduardo-cavazin
Automobile,svm,accuracy,v6,6,0.3870967741935484,eduardo-cavazin
Automobile,svm,accuracy,v7,7,0.3870967741935484,eduardo-cavazin
Automobile,svm,accuracy,v8,8,0.4838709677419355,eduardo-cavazin
Automobile,svm,accuracy,v9,9,0.5483870967741935,eduardo-cavazin
Automobile,svm,accuracy,v10,10,0.4857142857142857,eduardo-cavazin
Automobile,svm,accuracy,v11,11,0.5483870967741935,eduardo-cavazin
Automobile,svm,accuracy,v12,12,0.5483870967741935,eduardo-cavazin
Automobile,svm,accuracy,v13,13,0.5161290322580645,eduardo-cavazin
Automobile,svm,accuracy,v14,14,0.3548387096774194,eduardo-cavazin
Automobile,svm,accuracy,v15,15,0.4285714285714285,eduardo-cavazin
Automobile,svm,accuracy,v16,16,0.5806451612903226,eduardo-cavazin
Automobile,svm,accuracy,v17,17,0.5161290322580645,eduardo-cavazin
Automobile,svm,accuracy,v18,18,0.5483870967741935,eduardo-cavazin
Automobile,svm,accuracy,v19,19,0.2903225806451613,eduardo-cavazin
Automobile,svm,accuracy,v20,20,0.4285714285714285,eduardo-cavazin
Automobile,svm,f1_score,v1,1,0.2786764705882353,eduardo-cavazin
Automobile,svm,f1_score,v2,2,0.1663082437275985,eduardo-cavazin
Automobile,svm,f1_score,v3,3,0.1815652173913043,eduardo-cavazin
Automobile,svm,f1_score,v4,4,0.2530465949820789,eduardo-cavazin
Automobile,svm,f1_score,v5,5,0.1706730769230769,eduardo-cavazin
Automobile,svm,f1_score,v6,6,0.1586206896551724,eduardo-cavazin
Automobile,svm,f1_score,v7,7,0.2,eduardo-cavazin
Automobile,svm,f1_score,v8,8,0.2475524475524475,eduardo-cavazin
Automobile,svm,f1_score,v9,9,0.2264957264957265,eduardo-cavazin
Automobile,svm,f1_score,v10,10,0.2891414141414141,eduardo-cavazin
Automobile,svm,f1_score,v11,11,0.2135874877810361,eduardo-cavazin
Automobile,svm,f1_score,v12,12,0.2645962732919255,eduardo-cavazin
Automobile,svm,f1_score,v13,13,0.2619047619047619,eduardo-cavazin
Automobile,svm,f1_score,v14,14,0.1772549019607843,eduardo-cavazin
Automobile,svm,f1_score,v15,15,0.1832844574780058,eduardo-cavazin
Automobile,svm,f1_score,v16,16,0.272463768115942,eduardo-cavazin
Automobile,svm,f1_score,v17,17,0.2205405405405405,eduardo-cavazin
Automobile,svm,f1_score,v18,18,0.2685185185185185,eduardo-cavazin
Automobile,svm,f1_score,v19,19,0.1314655172413793,eduardo-cavazin
Automobile,svm,f1_score,v20,20,0.2307692307692307,eduardo-cavazin
