dataset,classifier,metric,experimento,experimento_num,valor,author
garments-workers,naive_bayes,f1_score,v16,16,0.6565964440460182,isaque--cruz
garments-workers,naive_bayes,f1_score,v17,17,0.6696476894925388,isaque--cruz
garments-workers,naive_bayes,f1_score,v18,18,0.6971992746322788,isaque--cruz
garments-workers,naive_bayes,f1_score,v19,19,0.6223803047738605,isaque--cruz
garments-workers,naive_bayes,f1_score,v20,20,0.6427082358346876,isaque--cruz
glass_identification,naive_bayes,f1_score,v1,1,0.3832671957671957,andrey--jodar
glass_identification,naive_bayes,f1_score,v2,2,0.4250528444076831,andrey--jodar
glass_identification,naive_bayes,f1_score,v3,3,0.4201680672268907,andrey--jodar
glass_identification,naive_bayes,f1_score,v4,4,0.3691520467836257,andrey--jodar
glass_identification,naive_bayes,f1_score,v5,5,0.4619047619047619,andrey--jodar
glass_identification,naive_bayes,f1_score,v6,6,0.4286638789326961,andrey--jodar
glass_identification,naive_bayes,f1_score,v7,7,0.4506721348826612,andrey--jodar
glass_identification,naive_bayes,f1_score,v8,8,0.5367543859649123,andrey--jodar
glass_identification,naive_bayes,f1_score,v9,9,0.4222222222222222,andrey--jodar
glass_identification,naive_bayes,f1_score,v10,10,0.4788178780284043,andrey--jodar
glass_identification,naive_bayes,f1_score,v11,11,0.3090277777777777,andrey--jodar
glass_identification,naive_bayes,f1_score,v12,12,0.4181167851756087,andrey--jodar
glass_identification,naive_bayes,f1_score,v13,13,0.4974912165129556,andrey--jodar
glass_identification,naive_bayes,f1_score,v14,14,0.4481481481481482,andrey--jodar
glass_identification,naive_bayes,f1_score,v15,15,0.4366096866096866,andrey--jodar
glass_identification,naive_bayes,f1_score,v16,16,0.426750637276953,andrey--jodar
glass_identification,naive_bayes,f1_score,v17,17,0.5761183261183261,andrey--jodar
glass_identification,naive_bayes,f1_score,v18,18,0.4140085061137692,andrey--jodar
glass_identification,naive_bayes,f1_score,v19,19,0.4774374331887065,andrey--jodar
glass_identification,naive_bayes,f1_score,v20,20,0.3925834022608216,andrey--jodar
iris,naive_bayes,f1_score,v1,1,1.0,pablo-v2
iris,naive_bayes,f1_score,v1,1,0.6470588235294118,gustavo--cruz-v2
iris,naive_bayes,f1_score,v2,2,0.9326599326599326,pablo-v2
iris,naive_bayes,f1_score,v2,2,1.0,gustavo--cruz-v2
